"Timestamp","¿En qué fecha realizó los contactos?","Coloque la sede a la pertenecen los alumnos contactados:","Coloque la categoría a la pertenecen los alumnos contactados:","¿Realizó llamadas?","Cantidad de llamadas realizadas (sólo colocar el número de llamadas realizadas):","Cantidad de llamadas efectivas (sólo colocar el número de llamadas efectivas, si ninguna fue efectiva colocar 0):","¿Envío mensajes de contacto?","Cantidad de mensajes  enviados (colocar el número total de mensajes que envío para esta categoría):","Cantidad de mensajes que obtuvieron respuesta (colocar el número de respuestas que obtuvo de sus mensajes enviados):","¿Envío trabajos (entrenamientos)?","¿Cuántos ejercicios diferentes envío?","Que usted sepa, ¿cuántos de sus alumnos de esta categoría recibieron la unidad de entrenamiento?","Según usted, ¿cuántos de sus alumnos de esta categoría realizaron los trabajos?","Si tiene algún comentario o sugerencia escríbalo aquí:"
"2020/07/31 12:38:54 PM CDT","2020-07-31","Lourdes","Juvenil","No","","","Sí","16","15","Sí","6","3","2",""
"2020/07/31 1:30:46 PM CDT","2020-07-31","Santa Fe","Infantil","Sí","14","2","Sí","14","2","Sí","3","1","0",""
"2020/07/31 1:32:46 PM CDT","2020-07-31","Castillo Lara","Infantil","No","","","Sí","13","5","Sí","2","5","2",""
"2020/07/31 1:33:51 PM CDT","2020-07-31","Campo Marte","Moscos","No","","","Sí","23","17","Sí","1","5","3",""
"2020/07/31 2:03:12 PM CDT","2020-07-31","Milles Rock","Moscos","Sí","3","1","Sí","6","14","Sí","3","4","3",""
"2020/07/31 2:03:43 PM CDT","2020-07-31","Milles Rock","Juvenil","Sí","7","6","Sí","8","7","No","","","",""
"2020/07/31 2:08:45 PM CDT","2020-07-31","Bethania","Infantil","No","","","Sí","20","16","Sí","3","5","3",""
"2020/07/31 2:14:55 PM CDT","2020-07-31","Justo Rufino Barrios","Infantil","No","","","Sí","13","13","Sí","1","5","5",""
"2020/07/31 2:17:04 PM CDT","2020-07-31","Justo Rufino Barrios","Juvenil","No","","","Sí","11","11","Sí","1","5","5",""
"2020/07/31 2:17:08 PM CDT","2020-07-31","Justo Rufino Barrios","Moscos","Sí","10","10","Sí","10","10","Sí","4","5","5","Siempre trabajamos en casa con diferente ejercicios "
"2020/07/31 2:20:23 PM CDT","2020-07-31","Justo Rufino Barrios","Intermedia","No","","","Sí","3","12","Sí","3","4","3",""
"2020/07/31 2:22:19 PM CDT","2020-07-31","Maestro","Infantil","No","","","Sí","2","15","No","","","","AGEADECIMIENTOS, RECOMENDACIONES."
"2020/07/31 2:32:22 PM CDT","2020-07-31","Nimajuyú","Moscos","Sí","12","8","No","","","No","","","",""
"2020/07/31 2:33:08 PM CDT","2020-07-31","Nimajuyú","Infantil","Sí","23","23","No","","","No","","","",""
"2020/07/31 3:00:44 PM CDT","2020-07-30","Santa Fe","Juvenil","No","","","Sí","15","5","Sí","6","5","2",""
"2020/07/31 3:01:08 PM CDT","2020-07-31","Santa Fe","Moscos","No","","","Sí","9","2","No","","","",""
"2020/07/31 3:01:57 PM CDT","2020-07-31","Santa Fe","Juvenil","No","","","Sí","15","5","No","","","",""
